,LineId,Time,Level,Content,EventId,EventTemplate
0,1,Sun Dec 04 04:47:44 2005,notice,PacketResponder 1 for block blk_38865049064139660 terminating,E10,PacketResponder <*> for block blk_<*> terminating
1,2,Sun Dec 04 04:47:44 2005,error,PacketResponder 0 for block blk_-6952295868487656571 terminating,E10,PacketResponder <*> for block blk_<*> terminating
2,3,Sun Dec 04 04:51:08 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
3,4,Sun Dec 04 04:51:09 2005,notice,PacketResponder 2 for block blk_8229193803249955061 terminating,E10,PacketResponder <*> for block blk_<*> terminating
4,5,Sun Dec 04 04:51:09 2005,notice,PacketResponder 2 for block blk_-6670958622368987959 terminating,E10,PacketResponder <*> for block blk_<*> terminating
5,6,Sun Dec 04 04:51:14 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
6,7,Sun Dec 04 04:51:14 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
7,8,Sun Dec 04 04:51:14 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
8,9,Sun Dec 04 04:51:18 2005,error,PacketResponder 2 for block blk_572492839287299681 terminating,E10,PacketResponder <*> for block blk_<*> terminating
9,10,Sun Dec 04 04:51:18 2005,error,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E11,Received block blk_<*> of size <*> from /<*>
10,11,Sun Dec 04 04:51:18 2005,error,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,E11,Received block blk_<*> of size <*> from /<*>
11,12,Sun Dec 04 04:51:37 2005,notice,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
12,13,Sun Dec 04 04:51:38 2005,notice,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
13,14,Sun Dec 04 04:51:38 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
14,15,Sun Dec 04 04:51:52 2005,notice,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
15,16,Sun Dec 04 04:51:52 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
